Global Mean Temperature record from http://data.giss.nasa.gov/gistemp/graphs_v3/Fig.A2.txt
See http://data.giss.nasa.gov/gistemp/graphs_v3/Fig.A2.gif for plot of this data set
------------------------------------------------------------------------
Global Land-Ocean Temperature Index (C) (Anomaly with Base: 1951-1980)
------------------------------------------------------------------------
 Year  Annual_Mean
----------------------------------
 1880     -0.21
 1881     -0.13
 1882     -0.11
 1883     -0.21
 1884     -0.29
 1885     -0.32
 1886     -0.31
 1887     -0.34
 1888     -0.21
 1889     -0.12
 1890     -0.37
 1891     -0.25
 1892     -0.28
 1893     -0.31
 1894     -0.32
 1895     -0.23
 1896     -0.16
 1897     -0.12
 1898     -0.29
 1899     -0.17
 1900     -0.10
 1901     -0.16
 1902     -0.28
 1903     -0.36
 1904     -0.45
 1905     -0.29
 1906     -0.23
 1907     -0.41
 1908     -0.44
 1909     -0.48
 1910     -0.43
 1911     -0.45
 1912     -0.35
 1913     -0.35
 1914     -0.17
 1915     -0.11
 1916     -0.34
 1917     -0.40
 1918     -0.26
 1919     -0.23
 1920     -0.27
 1921     -0.21
 1922     -0.28
 1923     -0.25
 1924     -0.28
 1925     -0.20
 1926     -0.10
 1927     -0.21
 1928     -0.21
 1929     -0.36
 1930     -0.14
 1931     -0.10
 1932     -0.17
 1933     -0.29
 1934     -0.14
 1935     -0.20
 1936     -0.15
 1937     -0.03
 1938     -0.04
 1939     -0.03
 1940      0.08
 1941      0.12
 1942      0.09
 1943      0.13
 1944      0.25
 1945      0.11
 1946     -0.04
 1947     -0.05
 1948     -0.09
 1949     -0.09
 1950     -0.18
 1951     -0.07
 1952      0.01
 1953      0.08
 1954     -0.12
 1955     -0.15
 1956     -0.20
 1957      0.04
 1958      0.07
 1959      0.03
 1960     -0.02
 1961      0.05
 1962      0.03
 1963      0.06
 1964     -0.20
 1965     -0.10
 1966     -0.05
 1967     -0.02
 1968     -0.07
 1969      0.07
 1970      0.02
 1971     -0.09
 1972      0.01
 1973      0.15
 1974     -0.08
 1975     -0.02
 1976     -0.12
 1977      0.18
 1978      0.07
 1979      0.17
 1980      0.27
 1981      0.33
 1982      0.13
 1983      0.30
 1984      0.15
 1985      0.11
 1986      0.19
 1987      0.33
 1988      0.40
 1989      0.29
 1990      0.44
 1991      0.42
 1992      0.23
 1993      0.24
 1994      0.31
 1995      0.45
 1996      0.34
 1997      0.47
 1998      0.63
 1999      0.41
 2000      0.42
 2001      0.54
 2002      0.63
 2003      0.62
 2004      0.54
 2005      0.69
 2006      0.63
 2007      0.66
 2008      0.53
 2009      0.64
 2010      0.71
 2011      0.60
 2012      0.63
 2013      0.66
 2014      0.75
 2015      0.86
 2016      0.98
 2017      0.90
 2018      0.83
 2019     -999 
