time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact,halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 18:22:13 2016
 1979.042     9.250    7.406    0.015 1120.994    0.136    0.310
 1979.125     9.320    8.343    0.315 1124.987    0.177    0.420
 1979.208    10.610   10.310    0.725 1129.479    0.151    0.090
 1979.292    11.290    8.877    0.235 1133.483    0.131   -0.290
 1979.375    10.340   10.188    0.375 1137.995    0.105   -0.920
 1979.458     9.120    8.412   -0.175 1142.012    0.116   -1.230
 1979.542     8.150    9.885    0.235 1146.042    0.125   -1.190
 1979.625     8.250    9.591    0.145 1150.072    0.129   -1.270
 1979.708     8.730   10.079    0.245 1154.614    0.143   -1.400
 1979.792     6.740   10.111    0.225 1158.657    0.138   -1.520
 1979.875     7.720    9.297    0.035 1163.214    0.144   -1.500
 1979.958     8.340   10.656    0.515 1167.269    0.117   -1.140
 1980.042     9.550    9.840    0.475 1171.335    0.136   -0.670
 1980.125     8.720    8.506    0.245 1175.400    0.177   -0.380
 1980.208     6.210    9.691    0.615 1179.979    0.151   -0.220
 1980.292     6.590    6.478   -0.075 1184.054    0.131    0.190
 1980.375     7.440    6.483    0.085 1188.644    0.105    0.640
 1980.458     6.120    7.134    0.375 1192.728    0.116    0.960
 1980.542     5.350    6.465    0.315 1196.820    0.125    1.260
 1980.625     4.850    6.287    0.305 1200.909    0.129    1.330
 1980.708     4.230    5.684    0.215 1205.511    0.143    1.480
 1980.792     4.040    5.576    0.185 1209.603    0.138    1.440
 1980.875     5.020    4.003   -0.255 1214.202    0.144    1.300
 1980.958     6.540    7.514    0.575 1218.288    0.117    1.030
 1981.042     9.050    7.939    0.635 1222.377    0.136    0.830
 1981.125     7.420    6.386    0.185 1226.455    0.177    0.630
 1981.208     8.010    6.967    0.345 1231.038    0.151    0.630
 1981.292     8.090    8.114    0.665 1235.105    0.131    0.670
 1981.375     8.840    7.257    0.355 1239.674    0.105    0.380
 1981.458     6.720    6.969    0.195 1243.728    0.116    0.080
 1981.542     6.350    4.170   -0.505 1247.782    0.125    0.120
 1981.625     7.050    8.981    0.675 1251.825    0.129   -0.130
 1981.708     7.630    7.955    0.385 1256.365    0.143   -0.250
 1981.792     8.340    6.910    0.075 1260.393    0.138   -0.400
 1981.875     6.620    8.097    0.375 1264.917    0.144   -0.470
 1981.958     7.040    8.132    0.295 1268.932    0.117   -0.760
 1982.042     9.950    9.561    0.665 1272.947    0.223   -0.860
 1982.125    11.120    5.452   -0.465 1276.950    0.285   -1.120
 1982.208    10.810    5.684   -0.475 1281.446    0.227   -1.340
 1982.292     8.490    7.695    0.085 1285.438    0.238   -1.270
 1982.375     8.840    6.368    0.025 1289.921    1.399   -1.110
 1982.458     9.420    2.914   -0.785 1293.899    1.481   -0.930
 1982.542     7.450    3.968   -0.215 1297.879    1.668   -0.180
 1982.625     5.550    3.302   -0.175 1301.849    1.676    0.420
 1982.708     3.630    3.608    0.125 1306.309    2.123    0.790
 1982.792     3.340    3.412    0.235 1310.269    2.457    1.050
 1982.875     3.420    2.375    0.035 1314.718    2.684    1.090
 1982.958     2.640    1.828   -0.165 1318.668    2.329    1.080
 1983.042     1.550    2.698    0.045 1322.620    2.251    1.040
 1983.125     1.820    1.980   -0.155 1326.563    2.167    1.010
 1983.208     1.210    2.079   -0.125 1330.994    2.118    1.010
 1983.292     1.790    1.760   -0.175 1334.930    2.035    1.120
 1983.375     2.540    1.476   -0.275 1339.352    1.859    1.100
 1983.458     3.220    2.257   -0.255 1343.280    1.670    0.620
 1983.542     1.950    3.366   -0.085 1347.210    1.597    0.270
 1983.625     1.750    4.256    0.045 1351.132    1.454    0.010
 1983.708     2.930    3.907   -0.145 1355.541    1.190   -0.180
 1983.792     2.540    3.548   -0.315 1359.458    1.196   -0.450
 1983.875     0.520    3.827   -0.265 1363.860    1.128   -0.520
 1983.958     3.340    3.828   -0.315 1367.770    1.097   -0.690
 1984.042     5.350    1.440   -0.945 1371.684    1.018   -0.710
 1984.125     4.820    2.415   -0.715 1375.590    1.061   -0.840
 1984.208     4.010    4.633   -0.205 1379.982    0.991   -1.040
 1984.292     4.390    2.470   -0.805 1383.884    0.990   -1.190
 1984.375     5.540    3.075   -0.595 1388.272    1.041   -1.100
 1984.458     3.920    4.195   -0.275 1392.168    1.132   -1.100
 1984.542     3.650    4.733   -0.265 1396.069    1.121   -1.520
 1984.625     3.950    4.495   -0.395 1399.964    1.066   -1.730
 1984.708     4.430    3.868   -0.505 1404.342    1.082   -1.620
 1984.792     2.240    3.224   -0.585 1408.234    1.060   -1.380
 1984.875     0.120    2.126   -0.695 1412.608    0.825   -0.760
 1984.958     1.240    2.013   -0.615 1416.496    0.743   -0.420
 1985.042    -0.850    0.614   -0.765 1420.387    0.844    0.130
 1985.125    -0.880    0.644   -0.665 1424.271    0.759    0.420
 1985.208    -2.890    0.260   -0.715 1428.640    0.741    0.540
 1985.292    -2.310   -0.696   -0.865 1432.524    0.564    0.900
 1985.375    -1.160   -0.674   -0.735 1436.889    0.572    1.230
 1985.458    -1.880   -0.892   -0.675 1440.769    0.652    1.500
 1985.542    -3.250   -1.088   -0.725 1444.656    0.683    1.450
 1985.625    -3.450   -0.689   -0.625 1448.540    0.600    1.450
 1985.708    -3.470   -0.916   -0.705 1452.913    0.506    1.400
 1985.792    -2.960   -1.399   -0.845 1456.810    0.471    1.340
 1985.875    -2.380   -0.907   -0.745 1461.204    0.394    1.260
 1985.958    -1.360   -0.440   -0.695 1465.122    0.322    1.050
 1986.042     0.450   -0.364   -0.705 1469.059    0.419    0.870
 1986.125     3.920   -0.898   -0.825 1473.003    0.383    0.910
